StartRelativeMSec,Number,Generation,Type,Reason,IsCompacting,SuspensionDurationInMilliSeconds,PauseDurationInMilliSeconds,FinalPauseDurationInMilliSeconds,Gen0Size,Gen1Size,Gen2Size,LOHSize,ObjGen0Before,ObjGen1Before,ObjGen2Before,ObjLOHBefore,ObjGen0After,ObjGen1After,ObjGen2After,ObjLOHAfter
19616.6820618987,95,0,NonConcurrentGC,AllocSmall,False,0.4802728912764,0.784773927127389,0,96,286040,62544,8674592,25521872,261840,61632,7049088,96,286040,0,0
19755.3248479045,96,0,NonConcurrentGC,AllocSmall,False,0.00948146937662386,0.32528733410436,0,96,307800,62544,9018200,27678816,286040,61632,7477816,96,307800,0,0
19962.9905429636,97,0,NonConcurrentGC,AllocSmall,False,0.00875212558094063,168.211112938523,0,96,331576,62544,9444552,30587152,307800,61632,7904168,96,331576,0,0
20227.2445646565,98,0,NonConcurrentGC,AllocSmall,False,0.0076581098837778,0.33440413158678,0,96,353792,62544,9787584,24153160,331576,61632,8247200,96,353792,0,0
20364.9227934889,99,0,NonConcurrentGC,AllocSmall,False,0.0102108131759451,0.987166831193463,0,96,379424,62544,10129624,23514360,353792,61632,8674768,96,379424,0,0
20521.1296368488,100,0,NonConcurrentGC,AllocSmall,False,0.134199258915032,21.853328232788,0,96,403184,62544,10898584,24565112,379424,61632,9786040,96,403184,0,0
20645.944429108,101,0,NonConcurrentGC,AllocSmall,False,0.00948146938026184,0.276056627710204,0,96,425104,62544,10984168,24695504,403184,61632,10042256,96,425104,0,0
20804.2335490125,102,0,NonConcurrentGC,AllocSmall,False,0.129458524221263,0.560865381001349,0,96,448584,62544,11069776,26506416,425104,61632,10298472,96,448584,0,0
20944.2172335917,103,0,NonConcurrentGC,AllocSmall,False,0.00692876608809456,0.295384238372208,0,96,471568,62544,11411224,26118392,448584,61632,10811016,96,471568,0,0
21117.8017869652,104,0,NonConcurrentGC,AllocSmall,False,0.0258917048449803,4.18606873117096,0,96,497624,62544,11752792,29317536,471568,61632,11238216,96,497624,0,0
21225.4109943472,106,0,NonConcurrentGC,AllocSmall,False,0,1.06702997712273,0,96,520536,62544,12096344,21193088,497624,61632,11581768,96,520536,0,0
21225.3993248464,105,2,BackgroundGC,AllocSmall,False,0.0955440375983017,0.216979780037946,0.127270492830576,1086280,520536,62544,3280168,0,0,0,0,0,0,0,0
21367.1035314462,107,1,NonConcurrentGC,AllocSmall,False,0.00619942228877335,2.65007069164858,0,96,20424,62544,3622840,23489288,13984,61632,634344,96,20424,61632,634344
21506.8385097902,108,0,NonConcurrentGC,AllocSmall,False,0.159726291858533,1.28473910096,0,96,43424,62544,4136280,24096224,20424,61632,1404440,96,43424,0,0
21663.2601448987,109,0,NonConcurrentGC,AllocSmall,False,0.0791338021335832,3.82322019144704,0,96,69288,62544,4393272,25916440,43424,61632,1832560,96,69288,0,0
21787.2555194004,110,0,NonConcurrentGC,AllocSmall,False,0.00547007848581416,2.32733606083639,0,96,90968,62544,4649800,23722984,69288,61632,2345760,96,90968,0,0
21943.9415416359,111,0,NonConcurrentGC,AllocSmall,False,0.00802278178161941,1.18883039146385,0,96,113024,62544,4906024,27590680,90968,61632,2601984,96,113024,0,0
22069.8375860762,112,0,NonConcurrentGC,AllocSmall,False,0.00911679747878225,1.84232243486986,0,96,136040,62544,5162032,20348456,113024,61632,2943680,96,136040,0,0
